query	question	option_1	option_2	option_3	option_4	option_5	impression_level	engagement_level	option_cctr_1	option_cctr_2	option_cctr_3	option_cctr_4	option_cctr_5
a discovery of witches	Select one to refine your search	trailer	cast	review	summary	quotes	high	0	0	0	0	0	0
a discovery of witches	Select one to refine your search	a discovery of witches tv	a discovery of witches books				high	3	0.5	0.5	0	0	0
a farewell to arms	Select one to refine your search	summary	characters	audiobook	quotes	review	low	0	0	0	0	0	0
a farewell to arms	Select one to refine your search	summary	themes	characters	audiobook	quotes	low	0	0	0	0	0	0
a farewell to arms	Select one to refine your search	who wrote	summary of	quotes from	themes in	characters in	low	0	0	0	0	0	0
a farewell to arms	What would you like to know about a farewell to arms?	summary	quotes	characters	themes		medium	7	1	0	0	0	0
a flying jatt full movie	Select one to refine your search	1080p	hd				low	10	1	0	0	0	0
a flying jatt full movie	What resolution are you looking for?	a flying jatt full movie 1080p	a flying jatt full movie hd				low	0	0	0	0	0	0
a flying jatt full movie	What resolution are you looking for?	a flying jatt full movie hd	a flying jatt full movie 1080p				low	0	0	0	0	0	0
a man called ove	Select one to refine your search	a man called ove movie	book				low	0	0	0	0	0	0
a man called ove	Select one to refine your search	a man called ove review	characters	quotes	book	audiobook	medium	5	0	0	0	1	0
a man called ove	Select one to refine your search	a man called ove review	summary	cast	trailer	quotes	medium	0	0	0	0	0	0
a million little pieces	Select one to refine your search	a million little pieces book	quotes	review	a million little pieces sparknotes	audiobook	medium	0	0	0	0	0	0
a million little pieces	Select one to refine your search	a million little pieces book	trailer	quotes	review	a million little pieces sparknotes	high	0	0	0	0	0	0
a million little pieces	Select one to refine your search	a million little pieces book	trailer	quotes	a million little pieces sparknotes	review	medium	0	0	0	0	0	0
a million little pieces	Select one to refine your search	trailer	quotes	review	summary	audiobook	medium	5	0	0	1	0	0
a million little things	Select one to refine your search	a million little things cast	a million little things trailer	review	episodes	soundtrack	high	3	0.555555556	0.111111111	0	0.333333333	0
a million little things	Select one to refine your search	a million little things cast	a million little things trailer	review	summary		high	0	0	0	0	0	0
a million little things	Select one to refine your search	a million little things cast	a million little things trailer	a million little things synopsis			high	0	0	0	0	0	0
a70	Select one to refine your search	lenovo a70	toshiba a70	corsair a70			high	0	0	0	0	0	0
a70	Select one to refine your search	samsung a70	canon a70	lenovo a70	toshiba a70	sony a70	high	6	1	0	0	0	0
a70	Select one to refine your search	samsung a70	lenovo a70	toshiba a70	sony a70	lg a70	medium	4	1	0	0	0	0
aamu	Select one to refine your search	aamu bookstore	aamu housing	aamu library	aamu athletics	aamu financial aid	medium	0	0	0	0	0	0
aamu	Select one to refine your search	aamu football	aamu logo	aamu band	aamu calendar	aamu alumni	high	2	0	1	0	0	0
aamu	Select one to refine your search	aamu housing	aamu library	aamu athletics	aamu financial aid	aamu bookstore	high	2	0	0	0	1	0
abciximab	Select one to refine your search	dose	abciximab pronunciation	mechanism of action	package insert	abciximab brand name	low	10	0	0	0	1	0
abciximab	Select one to refine your search	package insert	abciximab pronunciation	brand name	abciximab dosage		low	9	0	1	0	0	0
abciximab	Select one to refine your search	abciximab pronunciation	mechanism of action	package insert	injection	dosing	medium	0	0	0	0	0	0
abersoch	Select one to refine your search	abersoch cottages	abersoch weather	abersoch restaurants	abersoch hotels		low	8	1	0	0	0	0
abersoch	Select one to refine your search	abersoch holiday homes	abersoch cottages	abersoch camping			medium	0	0	0	0	0	0
abersoch	Select one to refine your search	houses for sale abersoch	weather abersoch				high	0	0	0	0	0	0
abiword	Select one to refine your search	abiword for windows 10	abiword for mac os x	for windows 7	abiword for windows vista		high	8	1	0	0	0	0
abiword	Select one to refine your search	abiword for windows 10	abiword for mac os x	abiword for windows 7	powerpoint	to word	low	10	1	0	0	0	0
abiword	Select one to refine your search	abiword for windows 10	abiword for mac os x	abiword linux			low	9	1	0	0	0	0
abs	Select one to refine your search	abs consulting	abs insurance	abs construction	abs engineering	abs accounting	high	0	0	0	0	0	0
abs	Select one to refine your search	abs kids	abs women	abs food	abs for teens	abs men	high	2	0	0.25	0.25	0	0.5
abs	Select one to refine your search	women abs	men abs	kids abs	baby abs		high	1	0.4	0.2	0.4	0	0
acadia	Select one to refine your search	acadia real estate	acadia healthcare	acadia insurance	acadia water	acadia consulting	high	1	0	1	0	0	0
acadia	Select one to refine your search	acadia restaurant	acadia library	acadia hospital	acadia park		high	1	1	0	0	0	0
acadia	Select one to refine your search	Acadia University	acadia medical	acadia community college			high	2	1	0	0	0	0
acetylcholine	Select one to refine your search	acetylcholine function	acetylcholine test	acetylcholine class			high	2	1	0	0	0	0
acetylcholine	Select one to refine your search	define acetylcholine	benefits of acetylcholine				high	0	0	0	0	0	0
acetylcholine	Select one to refine your search	side effects for acetylcholine	structure of acetylcholine				high	0	0	0	0	0	0
acidosis	Select one to refine your search	chronic respiratory acidosis	diabetes acidosis				high	0	0	0	0	0	0
acidosis	Select one to refine your search	define acidosis	test for acidosis	what is function of acidosis			high	6	0.5	0	0.5	0	0
acidosis	Select one to refine your search	renal acidosis	what is respiratory acidosis	what is metabolic acidosis	liver acidosis	diabetes acidosis	high	0	0	0	0	0	0
aco	Which ""aco"" do you mean?	accountable care organizations	atlantic classical orchestra				high	0	0	0	0	0	0
aco	Select one to refine your search	aco hardware	aco software				high	2	1	0	0	0	0
aco	Select one to refine your search	aco organization	aco company	aco leadership	aco partnership		high	0	0	0	0	0	0
aco	Select one to refine your search	national aco	local aco	international aco			high	0	0	0	0	0	0
actifry	Select one to refine your search	actifry canada	actifry uk	actifry egypt			low	0	0	0	0	0	0
actifry	Select one to refine your search	chicken wings	french fries	actifry fried chicken	onion rings		medium	0	0	0	0	0	0
actifry	Select one to refine your search	french fries	chicken wings	onion rings	actifry fried chicken		high	0	0	0	0	0	0
actifry	Select one to refine your search	sweet potato fries	chicken wings	actifry fried chicken	french fries	onion rings	low	8	1	0	0	0	0
active directory users and computers	Select one to refine your search	win 10	win 7	win 8	for mac	linux	high	1	1	0	0	0	0
active directory users and computers	Select one to refine your search	win 10	server 2012	win 8	linux		high	2	1	0	0	0	0
active directory users and computers	Select one to refine your search	server 2012	server 2012	windows 8	xp	xp	high	0	0	0	0	0	0
activities	Select one to refine your search	for kids	for men	for women	for adults	for teens	high	6	0	0	0	1	0
activities	Select one to refine your search	for kids	for seniors	for couples	for women	for adults	medium	0	0	0	0	0	0
activities	Select one to refine your search	for seniors	for kids	for couples	for women	for adults	medium	0	0	0	0	0	0
acute respiratory distress syndrome	Select one to refine your search	in children	in newborns	in adults			medium	7	1	0	0	0	0
acute respiratory distress syndrome	Select one to refine your search	stages	in children	diet			medium	0	0	0	0	0	0
acute respiratory distress syndrome	What do you want to know about this condition?	presentation	medication	overview	overview	treatment	medium	0	0	0	0	0	0
acute respiratory distress syndrome	What do you want to know about this condition?	treatment	presentation	presentation	overview	medication	high	3	0	0	0	0	1
add a device to my computer	Select one to refine your search	add a bluetooth device to my computer	add a usb device to my computer				medium	7	0	1	0	0	0
add a device to my computer	Select one to refine your search	add a usb device to my computer	add a bluetooth device to my computer				high	9	0.8	0.2	0	0	0
add a device to my computer	Select one to refine your search	windows 10 how do i	windows 7	windows 8			low	0	0	0	0	0	0
add email account to outlook	Select one to refine your search	windows 10	windows 7	windows 8			low	8	1	0	0	0	0
add email account to outlook	What version of Outlook are you looking for?	add email account to outlook 2010	add email account to outlook 2016				medium	10	0.25	0.75	0	0	0
add email account to outlook	What version of Outlook are you looking for?	add email account to outlook 2016	add email account to outlook 2010				medium	9	0.666666667	0.333333333	0	0	0
adderall	Select one to refine your search	adderall for sale	adderall side effects	adderall facts	adderall scientific name		medium	5	1	0	0	0	0
adderall	Select one to refine your search	adderall for sale	adderall side effects	adderall scientific name	adderall facts		high	6	0.333333333	0.333333333	0	0.333333333	0
adderall	Select one to refine your search	for sale	side effects	facts	scientific name		low	0	0	0	0	0	0
adderall	Select one to refine your search	risks of	alternatives to	the benefits of			medium	0	0	0	0	0	0
adderall	Select one to refine your search	risks of buy	alternatives to buy	the benefits of buy			medium	0	0	0	0	0	0
adem	Which ""adem"" do you mean?	acute disseminated encephalomyelitis	agency for development of export markets	assembly district election meetings			high	3	1	0	0	0	0
adem	Which ""adem"" do you mean?	acute disseminated encephalomyelitis	assembly district election meetings	agency for development of export markets			medium	8	1	0	0	0	0
adem	Select one to refine your search	adem in children	adem in adults				high	2	1	0	0	0	0
adjectives that start with n	Select one to refine your search	in spanish	in french	in italian			low	0	0	0	0	0	0
adjectives that start with n	Select one to refine your search	positive adjectives that start with n	negative adjectives that start with n				low	8	1	0	0	0	0
adjectives that start with n	Select one to refine your search	spanish	french	italian			medium	5	1	0	0	0	0
adobe flash player 10 download	Select one to refine your search	for windows 10	for windows 7	for windows 8	for windows xp		medium	0	0	0	0	0	0
adobe flash player 10 download	Select one to refine your search	windows 10	for windows 7	for windows 8	for windows xp	for ios	medium	5	1	0	0	0	0
adobe flash player 10 download	Select one to refine your search	windows 10	for windows 7	for windows xp	for windows 8		low	10	1	0	0	0	0
adobe pdf editor free download	Select one to refine your search	adobe pdf editor free download for mac	adobe pdf editor free download pc				low	8	0	1	0	0	0
adobe pdf editor free download	Select one to refine your search	for windows 10	for windows 7	for windows 8			high	2	1	0	0	0	0
adobe pdf editor free download	Select one to refine your search	for windows 10	for windows 8	for windows 7			medium	0	0	0	0	0	0
adrafinil	Select one to refine your search	adrafinil dosage	adrafinil powder	adrafinil review			low	8	1	0	0	0	0
adrafinil	Select one to refine your search	side effects for	dosing adrafinil	half life of			low	0	0	0	0	0	0
adrafinil	What would you like to know about adrafinil?	adrafinil review	adrafinil dosage	side effects for	adrafinil half life		low	0	0	0	0	0	0
age of empires definitive edition	Select one to refine your search	review	trailer	mods	guide	soundtrack	high	2	0	1	0	0	0
age of empires definitive edition	Select one to refine your search	steam	xbox	age of empires definitive edition mac	pc	on ps4	medium	0	0	0	0	0	0
age of empires definitive edition	Select one to refine your search	age of empires definitive edition windows 10	age of empires definitive edition windows 7				medium	0	0	0	0	0	0
airdrop from iphone to pc	Select one to refine your search	for windows 10	windows 8	with windows 7			medium	4	0	0	1	0	0
airdrop from iphone to pc	Select one to refine your search	for windows 10	with windows 7	windows 8			low	0	0	0	0	0	0
airdrop from iphone to pc	Select one to refine your search	windows 8	for windows 10	with windows 7			medium	4	0	1	0	0	0
akl	Which ""akl"" do you mean?	alpha kappa lambda	andorra kernel language	animal kingdom lodge			low	10	0	0	1	0	0
akl	Select one to refine your search	akl airport arrivals	akl airport departures				low	0	0	0	0	0	0
akl	Select one to refine your search	sfo to akl	lax to akl	dfw to akl			medium	0	0	0	0	0	0
albert einstein college of medicine	Select one to refine your search	library	hospital				high	0	0	0	0	0	0
albert einstein college of medicine	Select one to refine your search	ranking	hospital	calendar			low	0	0	0	0	0	0
albert einstein college of medicine	Select one to refine your search	library	registrar	admissions			low	8	1	0	0	0	0
alexithymia	Select one to refine your search	alexithymia in children	alexithymia in women				low	0	0	0	0	0	0
alexithymia	Select one to refine your search	alexithymia test	alexithymia lyrics				high	0	0	0	0	0	0
alexithymia	Select one to refine your search	alexithymia test	alexithymia pronunciation	alexithymia facts			low	10	1	0	0	0	0
all the light we cannot see	Select one to refine your search	summary	themes	characters	quotes	review	high	3	1	0	0	0	0
all the light we cannot see	Select one to refine your search	summary	themes	characters	review	quotes	medium	5	1	0	0	0	0
all the light we cannot see	Select one to refine your search	quotes from	summary of	themes in	characters in	review of	medium	0	0	0	0	0	0
alteryx	Select one to refine your search	vlookup in	pivot table in	conditional formatting in	formulas in	macros in	high	0	0	0	0	0	0
alteryx	What would you like to know about alteryx?	alteryx stock	alteryx headquarters	alteryx careers	alteryx logo		high	10	1	0	0	0	0
alteryx	What would you like to know about alteryx?	alteryx stock	alteryx logo	alteryx careers	alteryx headquarters		high	0	0	0	0	0	0
article 2 of the constitution	Select one to refine your search	section 2	section 1				high	4	1	0	0	0	0
article 2 of the constitution	Select one to refine your search	section 2	section 4	section 1	section 3	section 5	low	0	0	0	0	0	0
article 2 of the constitution	Select one to refine your search	section 4	section 2	section 1	section 3	section 5	low	0	0	0	0	0	0
back exercises for lower back pain	Select one to refine your search	for men	for women				low	0	0	0	0	0	0
back exercises for lower back pain	Select one to refine your search	for men	for women	seniors			medium	0	0	0	0	0	0
back exercises for lower back pain	Select one to refine your search	for men	for women	for pregnant			low	0	0	0	0	0	0
back exercises for lower back pain	Select one to refine your search	men	women				medium	7	0	1	0	0	0
best hairstyles for women over 60	Select one to refine your search	short hairstyles	long hairstyles				low	0	0	0	0	0	0
best hairstyles for women over 60	Select one to refine your search	short hairstyles	long hairstyles	medium hairstyles			low	0	0	0	0	0	0
best hairstyles for women over 60	Select one to refine your search	short hairstyles	medium hairstyles	long hairstyles			medium	7	1	0	0	0	0
best movies of all time	Select one to refine your search	comedy movies	horror movies	western movies	war movies	thriller movies	high	3	1	0	0	0	0
best movies of all time	Select one to refine your search	adventure movies	horror movies	horror movies	comedy movies	adventure	high	3	0	0.5	0.25	0.25	0
best movies of all time	Select one to refine your search	adventure movies	western movies	horror movies	comedy movies	romance movies	high	6	0	0.333333333	0	0.666666667	0
best movies of all time	Select one to refine your search	best movies of all time for kids	best movies of all time for teens	for men	for women		high	5	0	0.5	0.5	0	0
best series on amazon prime	Select one to refine your search	mystery series	western series	best comedy series on amazon prime	best drama series on amazon prime	horror series	medium	6	1	0	0	0	0
best series on amazon prime	Select one to refine your search	mystery series	western series	drama series	best comedy series on amazon prime	action series	low	0	0	0	0	0	0
best series on amazon prime	Select one to refine your search	best tv series on amazon prime	best movie series on amazon prime				low	0	0	0	0	0	0
best shampoo for itchy scalp	Select one to refine your search	best shampoo for dry itchy scalp	best shampoo for oily itchy scalp	sensitive			low	0	0	0	0	0	0
best shampoo for itchy scalp	Select one to refine your search	dry	sensitive	oily			medium	6	1	0	0	0	0
best shampoo for itchy scalp	Select one to refine your search	best shampoo for itchy scalp for men	best shampoo for itchy scalp for kids				low	0	0	0	0	0	0
better homes and gardens recipes	Select one to refine your search	cookie	dessert recipes	soup	pie recipes	candy recipes	medium	0	0	0	0	0	0
better homes and gardens recipes	Select one to refine your search	meatloaf	soup	chicken	salad	chili recipes	low	0	0	0	0	0	0
better homes and gardens recipes	Select one to refine your search	pumpkin	chicken	salmon recipes	salad	eggplant recipes	medium	0	0	0	0	0	0
better homes and gardens recipes	Select one to refine your search	better homes and gardens recipes banana bread	pecan pie	cookies	better homes and gardens recipes pie crust	banana cake	high	4	0.5	0.5	0	0	0
bill of sale form free printable	Select one to refine your search	equipment	real estate bill of sale form free printable				medium	5	0	1	0	0	0
bill of sale form free printable	Select one to refine your search	trailer	automobile bill of sale	boat	motorcycle	atv	high	5	0	0.5	0.5	0	0
bill of sale form free printable	Select one to refine your search	trailer	boat	car	motorcycle	atv	medium	0	0	0	0	0	0
bill of sale form free printable	Select one to refine your search	trailer	boat	motorcycle	atv		high	0	0	0	0	0	0
can you drink too much water	Select one to refine your search	can you drink too much alkaline water	can you drink too much acidic water				low	0	0	0	0	0	0
can you drink too much water	Select one to refine your search	lemon	coconut	ginger	cucumber	lime water	medium	5	1	0	0	0	0
can you drink too much water	Select one to refine your search	lemon	coconut	ginger	lime water	cucumber	medium	5	0	0	1	0	0
charlie and the chocolate factory	Select one to refine your search	characters	songs	summary	quotes	trailer	high	2	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667
charlie and the chocolate factory	Select one to refine your search	film	book	theater			high	0	0	0	0	0	0
charlie and the chocolate factory	Select one to refine your search	cast from	quotes from	songs from	facts from		high	2	0	0.5	0.5	0	0
cheap hotels in san francisco	Select one to refine your search	downtown	union square	chinatown			medium	0	0	0	0	0	0
cheap hotels in san francisco	Select one to refine your search	cheap hotels in san francisco downtown	cheap hotels in san francisco union square	san francisco chinatown			high	2	1	0	0	0	0
cheap hotels in san francisco	Select one to refine your search	cheap hotels in san francisco union square	cheap hotels in san francisco downtown	chinatown	san francisco financial district		low	0	0	0	0	0	0
chemical peel before and after	Select one to refine your search	for face	on legs	on arms	under eye	on chest	medium	4	0	0	0	0	1
chemical peel before and after	Select one to refine your search	for face	under eye				low	0	0	0	0	0	0
chemical peel before and after	Select one to refine your search	phenol	salicylic acid	lactic acid			low	0	0	0	0	0	0
clone drone in the danger zone	Select one to refine your search	download	update				high	9	1	0	0	0	0
clone drone in the danger zone	Select one to refine your search	xbox	ps4	pc	android		low	9	0	0	1	0	0
clone drone in the danger zone	Select one to refine your search	ps4	xbox	pc	android		high	5	0	0	0.666666667	0.333333333	0
clone drone in the danger zone	What are you trying to do?	download	update				high	8	1	0	0	0	0
cool things to build in minecraft	Select one to refine your search	minecraft pe	pc	ps4	xbox		medium	5	0	0	1	0	0
cool things to build in minecraft	Select one to refine your search	pe	ps4	minecraft xbox one			medium	3	1	0	0	0	0
cool things to build in minecraft	Select one to refine your search	minecraft pe	minecraft xbox one	ps4			medium	0	0	0	0	0	0
create a drop down list in excel	Select one to refine your search	create a drop down list in excel to sort by	create a drop down list in excel filter				low	0	0	0	0	0	0
create a drop down list in excel	What version of Excel are you looking for?	excel 2007	create a drop down list in excel 2010	excel 2013	create a drop down list in excel 2016		low	0	0	0	0	0	0
create a drop down list in excel	What version of Excel are you looking for?	create a drop down list in excel 2016	create a drop down list in excel 2010	excel 2013	excel 2007		medium	5	1	0	0	0	0
do you italicize book titles	Select one to refine your search	in an essay	in a paragraph	in a sentence			low	0	0	0	0	0	0
do you italicize book titles	Select one to refine your search	in apa	in mla	in chicago style	in turabian		high	2	0	1	0	0	0
do you italicize book titles	Select one to refine your search	do you italicize short book titles	do you italicize long book titles				low	0	0	0	0	0	0
free movies on youtube full length	Select one to refine your search	family movies	horror movies	comedy movies	western movies	romance movies	medium	0	0	0	0	0	0
free movies on youtube full length	Select one to refine your search	family movies	war movies	action movies	horror movies	comedy movies	high	9	0	0	0.75	0	0.25
free movies on youtube full length	Select one to refine your search	horror movies	western movies	comedy movies	war movies	romance movies	low	0	0	0	0	0	0
free pc games download full version	Select one to refine your search	minecraft	gta 4	gta 5			low	0	0	0	0	0	0
free pc games download full version	Select one to refine your search	windows 10	windows 7	windows 8			low	9	0	0	1	0	0
free pc games download full version	Select one to refine your search	windows 10	windows 8	windows 7			medium	0	0	0	0	0	0
free printable coloring pages for kids	Select one to refine your search	disney	princess	star wars			low	9	1	0	0	0	0
free printable coloring pages for kids	Select one to refine your search	easter coloring pages	animal coloring pages	halloween coloring pages	halloween coloring pages	thanksgiving coloring pages	high	6	0	0	0	0	1
free printable coloring pages for kids	Select one to refine your search	disney	star wars	princess			medium	0	0	0	0	0	0
grand canyon tours from las vegas	Select one to refine your search	helicopter	bus	airplane tours	train	boat	medium	0	0	0	0	0	0
grand canyon tours from las vegas	Select one to refine your search	helicopter	hiking				high	3	1	0	0	0	0
grand canyon tours from las vegas	Select one to refine your search	short grand canyon tours from las vegas	how long are grand canyon tours from las vegas				medium	0	0	0	0	0	0
harry potter and the prisoner of azkaban	Select one to refine your search	cast	summary	trailer	quotes	audiobook	medium	0	0	0	0	0	0
harry potter and the prisoner of azkaban	Select one to refine your search	pc game	review	walkthrough			medium	0	0	0	0	0	0
harry potter and the prisoner of azkaban	Select one to refine your search	quotes	film	book	characters	sparknotes	high	2	0	0.5	0.5	0	0
how do i change my password on my computer	Select one to refine your search	my hp	dell computer	apple computer	asus computer	lenovo computer	medium	0	0	0	0	0	0
how do i change my password on my computer	Select one to refine your search	hp	dell computer	my asus	my acer	lenovo computer	medium	4	1	0	0	0	0
how do i change my password on my computer	Select one to refine your search	my hp	dell computer	asus	apple computer	my acer	low	0	0	0	0	0	0
how do i connect my printer to wifi	Select one to refine your search	brother printer	canon printer	hp printer	epson printer	dell printer	low	10	0	0	0	1	0
how do i connect my printer to wifi	Select one to refine your search	brother printer	hp printer	canon printer	epson printer	lexmark	low	9	0	0	0	1	0
how do i connect my printer to wifi	Select one to refine your search	canon printer	hp printer	epson printer			low	7	0	1	0	0	0
how do i do a screenshot on my computer	Select one to refine your search	hp computer	acer computer	lenovo	hp computer	acer computer	low	0	0	0	0	0	0
how do i do a screenshot on my computer	Select one to refine your search	dell computer	lenovo computer	acer computer	acer computer	lenovo computer	medium	8	0	0.5	0	0.5	0
how do i do a screenshot on my computer	Select one to refine your search	how do i do a screenshot on my mac computer	how do i do a screenshot on my windows computer				medium	0	0	0	0	0	0
how do i get my printer back online	Select one to refine your search	canon printer	epson printer	hp printer	brother printer	kodak printer	medium	6	0	0	1	0	0
how do i get my printer back online	Select one to refine your search	epson printer	canon printer	hp printer			medium	0	0	0	0	0	0
how do i get my printer back online	Select one to refine your search	hp	brother	epson	canon		low	9	0	1	0	0	0
how do i get my printer back online	Select one to refine your search	windows 10	windows 8	vista	windows 7		low	0	0	0	0	0	0
how do i rename a file	Select one to refine your search	excel	windows	word	access	onenote	medium	7	0	0	1	0	0
how do i rename a file	Select one to refine your search	in windows	in word	in excel	in linux	on a mac	low	0	0	0	0	0	0
how do i rename a file	Select one to refine your search	in windows 10	in unix	in dos	windows 7	on my ipad	low	0	0	0	0	0	0
how do i scan a document to my computer	Select one to refine your search	canon	hp	epson	brother		high	5	0.333333333	0.333333333	0	0.333333333	0
how do i scan a document to my computer	Select one to refine your search	hp	canon	epson	brother		medium	10	1	0	0	0	0
how do i scan a document to my computer	Select one to refine your search	my hp	how do i scan a document to my dell computer				low	10	0.5	0.5	0	0	0
how do i shut down windows 10	Select one to refine your search	pc	laptop	chromebook			medium	7	0	1	0	0	0
how do i shut down windows 10	Select one to refine your search	laptop	pc	chromebook			medium	0	0	0	0	0	0
how do i shut down windows 10	Select one to refine your search	chromebook	laptop	pc			low	10	0	0.5	0.5	0	0
how do i take a screenshot on my laptop	Select one to refine your search	apple laptop	how do i take a screenshot on my windows laptop				medium	9	0	1	0	0	0
how do i take a screenshot on my laptop	Select one to refine your search	hp laptop	dell laptop				medium	4	1	0	0	0	0
how do i take a screenshot on my laptop	Select one to refine your search	hp laptop	dell laptop	apple laptop	toshiba laptop	acer laptop	medium	9	0	0	0.5	0	0.5
how do i take a screenshot on my laptop	Select one to refine your search	hp laptop	dell laptop	apple laptop	toshiba laptop	asus laptop	medium	0	0	0	0	0	0
how do i update my browser	Select one to refine your search	for windows 7	vista	in windows 8	xp		medium	5	0	0	1	0	0
how do i update my browser	Select one to refine your search	chrome	safari	mozilla	opera	opera	high	7	0.666666667	0.333333333	0	0	0
how do i update my browser	Select one to refine your search	safari	safari	firefox	opera	mozilla	medium	0	0	0	0	0	0
how do you get rid of fruit flies	Select one to refine your search	how do you get rid of fruit flies in house	how do you get rid of fruit flies trap				medium	0	0	0	0	0	0
how do you get rid of fruit flies	Select one to refine your search	in kitchen	in my bathroom	in refrigerator			low	0	0	0	0	0	0
how do you get rid of fruit flies	Select one to refine your search	how do you get rid of fruit flies in the kitchen	how do you get rid of fruit flies in the bathroom				medium	8	1	0	0	0	0
how do you screenshot on a computer	Select one to refine your search	windows 10	windows 7	windows 8	windows xp		medium	7	1	0	0	0	0
how do you screenshot on a computer	Select one to refine your search	asus computer	dell computer	hp computer	toshiba computer	toshiba computer	medium	9	0	0.333333333	0.666666667	0	0
how do you screenshot on a computer	Select one to refine your search	lenovo	how do you screenshot on a windows computer	dell computer	dell computer	asus	high	9	0	0.333333333	0.166666667	0.5	0
how do you screenshot on a computer	Select one to refine your search	how do you screenshot on a windows computer	lenovo	dell computer	lenovo computer	toshiba computer	high	0	0	0	0	0	0
how do you take a screenshot on computer	Select one to refine your search	dell	a hp computer	asus	a lenovo computer	a windows computer	high	9	0.2	0.5	0.1	0.2	0
how do you take a screenshot on computer	Select one to refine your search	dell	a lenovo computer	asus	dell computer	acer	medium	0	0	0	0	0	0
how do you take a screenshot on computer	Select one to refine your search	hp	dell	acer	asus	lenovo	medium	0	0	0	0	0	0
how long does caffeine stay in your system	Select one to refine your search	from coffee	from soda	from tea	from energy drinks		low	0	0	0	0	0	0
how long does caffeine stay in your system	Select one to refine your search	from coffee	from tea	from chocolate			low	0	0	0	0	0	0
how long does caffeine stay in your system	Select one to refine your search	coffee	tea	natural caffeine			medium	3	0	1	0	0	0
how long has this been going on	Select one to refine your search	lyrics	chords				low	0	0	0	0	0	0
how long has this been going on	Select one to refine your search	lyrics	chords	sheet music			low	0	0	0	0	0	0
how long has this been going on	Select one to refine your search	lyrics	chords	how long has this been going on singer	sheet music		low	9	0	0	1	0	0
how long has this been going on	Select one to refine your search	lyrics	how long has this been going on singer				medium	0	0	0	0	0	0
how long to cook corn on the cob	Select one to refine your search	in microwave	in oven				low	0	0	0	0	0	0
how long to cook corn on the cob	Select one to refine your search	in microwave	on the grill	how long to cook corn on the cob in oven			low	8	0	0	1	0	0
how long to cook corn on the cob	Select one to refine your search	in microwave	on the grill	how long to cook corn on the cob in oven	in slow cooker	from freezer	medium	0	0	0	0	0	0
how many calories to lose weight	Select one to refine your search	a woman	for men				high	7	0.714285714	0.285714286	0	0	0
how many calories to lose weight	Select one to refine your search	for men	a woman				high	7	0.5	0.5	0	0	0
how many calories to lose weight	Select one to refine your search	for women	for men	for children			high	5	0.75	0.25	0	0	0
how many calories to lose weight	Select one to refine your search	for women	for men	for kids			high	7	1	0	0	0	0
how many steps in a mile	Select one to refine your search	running	biking	hiking	golfing		high	0	0	0	0	0	0
how many steps in a mile	Select one to refine your search	walking	running	biking	golfing		high	1	1	0	0	0	0
how many steps in a mile	Select one to refine your search	walking	running	elliptical	brisk steps		high	0	0	0	0	0	0
how many steps in a mile	Select one to refine your search	when walking how many steps in a mile	when running how many steps in a mile				high	3	1	0	0	0	0
how much sugar should you have daily	Select one to refine your search	for kids	for men				medium	0	0	0	0	0	0
how much sugar should you have daily	Select one to refine your search	for women	for kids	for men			high	3	1	0	0	0	0
how much sugar should you have daily	Select one to refine your search	for women	for men				medium	0	0	0	0	0	0
how to add a printer to my computer	Select one to refine your search	hp printer	canon printer	brother printer	lexmark printer		medium	10	0.666666667	0.333333333	0	0	0
how to add a printer to my computer	Select one to refine your search	hp printer	dymo printer	canon printer	brother printer	lexmark printer	low	0	0	0	0	0	0
how to add a printer to my computer	Select one to refine your search	how to add a printer to my computer windows	how to add a printer to my computer mac				low	8	1	0	0	0	0
how to care for a child	Select one to refine your search	with autism	how to care for a child with cerebral palsy				low	0	0	0	0	0	0
how to care for a child	Select one to refine your search	with autism	with down syndrome				high	3	0	1	0	0	0
how to care for a child	Select one to refine your search	pneumonia	how to care for a child with fever				low	0	0	0	0	0	0
how to change brightness in windows 10	Select one to refine your search	desktop	keyboard	laptop			medium	0	0	0	0	0	0
how to change brightness in windows 10	Select one to refine your search	desktop	laptop	keyboards			medium	3	1	0	0	0	0
how to change brightness in windows 10	Select one to refine your search	keyboard	desktop	laptop			medium	4	0	1	0	0	0
how to change brightness in windows 10	Select one to refine your search	desktop	laptop	keyboard			high	6	0.636363636	0.306220096	0.057416268	0	0
how to change brightness in windows 10	Select one to refine your search	laptop	desktop	keyboard			high	7	0.405	0.53	0.065	0	0
how to change the time on my computer	Select one to refine your search	how to change the time on my computer windows	how to change the time on my computer mac				low	0	0	0	0	0	0
how to change the time on my computer	Select one to refine your search	hp computer	lenovo computer	acer computer	asus computer	windows computer	low	9	0	1	0	0	0
how to change the time on my computer	Select one to refine your search	dell computer	lenovo computer	acer computer	windows computer	asus computer	medium	10	0.25	0.25	0.5	0	0
how to connect bluetooth headphones to laptop	Select one to refine your search	hp	asus	toshiba	dell		low	0	0	0	0	0	0
how to connect bluetooth headphones to laptop	Select one to refine your search	hp	dell				high	5	1	0	0	0	0
how to connect bluetooth headphones to laptop	Select one to refine your search	hp	dell	asus	toshiba		medium	8	0.5	0	0.5	0	0
how to connect bluetooth headphones to laptop	Select one to refine your search	windows 10	windows 7				medium	9	1	0	0	0	0
