query	question	option_1	option_2	option_3	option_4	option_5	Quality_Option1	Quality_Option2	Quality_Option3	Quality_Option4	Quality_Option5	OverallClarificationPaneQuality								
aamu	Select one to refine your search	aamu bookstore	aamu housing	aamu library	aamu athletics	aamu financial aid	4	4	4	4	4	5								
aamu	Select one to refine your search	aamu football	aamu logo	aamu band	aamu calendar	aamu alumni	4	3	4	3	4	4								
aamu	Select one to refine your search	aamu housing	aamu library	aamu athletics	aamu financial aid	aamu bookstore	3	3	4	4	3	3								
abciximab	Select one to refine your search	dose	abciximab pronunciation	mechanism of action	package insert	abciximab brand name	5	4	4	3	4	5								
abciximab	Select one to refine your search	package insert	abciximab pronunciation	brand name	abciximab dosage		3	4	4	5		4								
abciximab	Select one to refine your search	abciximab pronunciation	mechanism of action	package insert	injection	dosing	5	3	3	5	5	5								
abersoch	Select one to refine your search	abersoch cottages	abersoch weather	abersoch restaurants	abersoch hotels		5	4	4	4		4								
abersoch	Select one to refine your search	abersoch holiday homes	abersoch cottages	abersoch camping			4	4	4			4								
abersoch	Select one to refine your search	houses for sale abersoch	weather abersoch				4	5				3								
abiword	Select one to refine your search	abiword for windows 10	abiword for mac os x	for windows 7	abiword for windows vista		5	4	3	3		4								
abiword	Select one to refine your search	abiword for windows 10	abiword for mac os x	abiword for windows 7	powerpoint	to word	5	4	5	3	2	3								
abiword	Select one to refine your search	abiword for windows 10	abiword for mac os x	abiword linux			5	5	5			5								
abs	Select one to refine your search	abs consulting	abs insurance	abs construction	abs engineering	abs accounting	4	4	4	4	4	4								
abs	Select one to refine your search	abs kids	abs women	abs food	abs for teens	abs men	2	5	2	3	5	3								
abs	Select one to refine your search	women abs	men abs	kids abs	baby abs		2	2	2	2		4								
acadia	Select one to refine your search	acadia real estate	acadia healthcare	acadia insurance	acadia water	acadia consulting	4	4	3	4	2	4								
acadia	Select one to refine your search	acadia restaurant	acadia library	acadia hospital	acadia park		3	3	3	3		4								
acadia	Select one to refine your search	Acadia University	acadia medical	acadia community college			5	5	5			4								
acetylcholine	Select one to refine your search	acetylcholine function	acetylcholine test	acetylcholine class			5	4	4			4								
acetylcholine	Select one to refine your search	define acetylcholine	benefits of acetylcholine				5	5				5								
acetylcholine	Select one to refine your search	side effects for acetylcholine	structure of acetylcholine				3	5				4								
acidosis	Select one to refine your search	chronic respiratory acidosis	diabetes acidosis				5	5				5								
acidosis	Select one to refine your search	define acidosis	test for acidosis	what is function of acidosis			5	4	5			4								
acidosis	Select one to refine your search	renal acidosis	what is respiratory acidosis	what is metabolic acidosis	liver acidosis	diabetes acidosis	5	5	4	5	5	5								
aco	Which ""aco"" do you mean?	accountable care organizations	atlantic classical orchestra				4	3				3								
aco	Select one to refine your search	aco hardware	aco software				4	4				4								
aco	Select one to refine your search	aco organization	aco company	aco leadership	aco partnership		3	3	4	4		4								
aco	Select one to refine your search	national aco	local aco	international aco			4	4	4			4								
actifry	Select one to refine your search	actifry canada	actifry uk	actifry egypt			3	3	3			3								
actifry	Select one to refine your search	chicken wings	french fries	actifry fried chicken	onion rings		5	5	5	5		5								
actifry	Select one to refine your search	french fries	chicken wings	onion rings	actifry fried chicken		4	4	4	5		3								
actifry	Select one to refine your search	sweet potato fries	chicken wings	actifry fried chicken	french fries	onion rings	3	3	5	3	3	3								
active directory users and computers	Select one to refine your search	win 10	win 7	win 8	for mac	linux	5	4	4	5	5	4								
active directory users and computers	Select one to refine your search	win 10	server 2012	win 8	linux		5	5	5	5		5								
active directory users and computers	Select one to refine your search	server 2012	server 2012	windows 8	xp	xp	4	2	4	4	2	4								
activities	Select one to refine your search	for kids	for men	for women	for adults	for teens	4	4	4	5	5	4								
activities	Select one to refine your search	for kids	for seniors	for couples	for women	for adults	5	5	5	4	4	5								
activities	Select one to refine your search	for seniors	for kids	for couples	for women	for adults	5	5	5	5	5	5								
acute respiratory distress syndrome	Select one to refine your search	in children	in newborns	in adults			4	4	4			4								
acute respiratory distress syndrome	Select one to refine your search	stages	in children	diet			4	4	3			4								
acute respiratory distress syndrome	What do you want to know about this condition?	presentation	medication	overview	overview	treatment	1	4	5	5	5	3								
acute respiratory distress syndrome	What do you want to know about this condition?	treatment	presentation	presentation	overview	medication	5	2	2	4	5	3								
add a device to my computer	Select one to refine your search	add a bluetooth device to my computer	add a usb device to my computer				5	5				5								
add a device to my computer	Select one to refine your search	add a usb device to my computer	add a bluetooth device to my computer				4	4				4								
add a device to my computer	Select one to refine your search	windows 10 how do i	windows 7	windows 8			3	3	3			3								
add email account to outlook	Select one to refine your search	windows 10	windows 7	windows 8			5	2	2			2								
add email account to outlook	What version of Outlook are you looking for?	add email account to outlook 2010	add email account to outlook 2016				4	5				4								
add email account to outlook	What version of Outlook are you looking for?	add email account to outlook 2016	add email account to outlook 2010				4	4				4								
adderall	Select one to refine your search	adderall for sale	adderall side effects	adderall facts	adderall scientific name		3	5	5	3		4								
adderall	Select one to refine your search	adderall for sale	adderall side effects	adderall scientific name	adderall facts		3	5	3	5		4								
adderall	Select one to refine your search	for sale	side effects	facts	scientific name		3	5	5	3		4								
adderall	Select one to refine your search	risks of	alternatives to	the benefits of			5	4	5			4								
adderall	Select one to refine your search	risks of buy	alternatives to buy	the benefits of buy			4	5	4			4								
adem	Which ""adem"" do you mean?	acute disseminated encephalomyelitis	agency for development of export markets	assembly district election meetings			4	4	4			4								
adem	Which ""adem"" do you mean?	acute disseminated encephalomyelitis	assembly district election meetings	agency for development of export markets			5	4	5			4								
adem	Select one to refine your search	adem in children	adem in adults				5	5				5								
adjectives that start with n	Select one to refine your search	in spanish	in french	in italian			3	3	3			3								
adjectives that start with n	Select one to refine your search	positive adjectives that start with n	negative adjectives that start with n				3	3				3								
adjectives that start with n	Select one to refine your search	spanish	french	italian			3	3	3			3								
adobe flash player 10 download	Select one to refine your search	for windows 10	for windows 7	for windows 8	for windows xp		5	5	5	5		5								
adobe flash player 10 download	Select one to refine your search	windows 10	for windows 7	for windows 8	for windows xp	for ios	4	4	4	4	4	4								
adobe flash player 10 download	Select one to refine your search	windows 10	for windows 7	for windows xp	for windows 8		5	4	4	4		4								
adobe pdf editor free download	Select one to refine your search	adobe pdf editor free download for mac	adobe pdf editor free download pc				5	5				4								
adobe pdf editor free download	Select one to refine your search	for windows 10	for windows 7	for windows 8			3	3	3			3								
adobe pdf editor free download	Select one to refine your search	for windows 10	for windows 8	for windows 7			5	5	5			5								
adrafinil	Select one to refine your search	adrafinil dosage	adrafinil powder	adrafinil review			3	4	3			4								
adrafinil	Select one to refine your search	side effects for	dosing adrafinil	half life of			5	5	3			4								
adrafinil	What would you like to know about adrafinil?	adrafinil review	adrafinil dosage	side effects for	adrafinil half life		4	5	5	4		4								
age of empires definitive edition	Select one to refine your search	review	trailer	mods	guide	soundtrack	5	3	3	4	3	4								
age of empires definitive edition	Select one to refine your search	steam	xbox	age of empires definitive edition mac	pc	on ps4	5	5	5	5	5	5								
age of empires definitive edition	Select one to refine your search	age of empires definitive edition windows 10	age of empires definitive edition windows 7				5	4				5								
airdrop from iphone to pc	Select one to refine your search	for windows 10	windows 8	with windows 7			5	5	5			4								
airdrop from iphone to pc	Select one to refine your search	for windows 10	with windows 7	windows 8			5	5	5			5								
airdrop from iphone to pc	Select one to refine your search	windows 8	for windows 10	with windows 7			5	5	5			4								
akl	Which ""akl"" do you mean?	alpha kappa lambda	andorra kernel language	animal kingdom lodge			3	2	3			3								
akl	Select one to refine your search	akl airport arrivals	akl airport departures				5	5				4								
akl	Select one to refine your search	sfo to akl	lax to akl	dfw to akl			4	4	4			4								
albert einstein college of medicine	Select one to refine your search	library	hospital				3	5				4								
albert einstein college of medicine	Select one to refine your search	ranking	hospital	calendar			3	4	3			4								
albert einstein college of medicine	Select one to refine your search	library	registrar	admissions			2	4	4			3								
alexithymia	Select one to refine your search	alexithymia in children	alexithymia in women				4	4				3								
alexithymia	Select one to refine your search	alexithymia test	alexithymia lyrics				4	3				3								
alexithymia	Select one to refine your search	alexithymia test	alexithymia pronunciation	alexithymia facts			4	3	5			4								
all the light we cannot see	Select one to refine your search	summary	themes	characters	quotes	review	5	4	4	3	5	5								
all the light we cannot see	Select one to refine your search	summary	themes	characters	review	quotes	5	3	4	5	3	5								
all the light we cannot see	Select one to refine your search	quotes from	summary of	themes in	characters in	review of	4	5	5	5	5	5								
alteryx	Select one to refine your search	vlookup in	pivot table in	conditional formatting in	formulas in	macros in	2	2	3	3	3	3								
alteryx	What would you like to know about alteryx?	alteryx stock	alteryx headquarters	alteryx careers	alteryx logo		4	5	4	3		4								
alteryx	What would you like to know about alteryx?	alteryx stock	alteryx logo	alteryx careers	alteryx headquarters		4	3	3	4		4								
article 2 of the constitution	Select one to refine your search	section 2	section 1				4	4				3								
article 2 of the constitution	Select one to refine your search	section 2	section 4	section 1	section 3	section 5	4	4	4	4	4	4								
article 2 of the constitution	Select one to refine your search	section 4	section 2	section 1	section 3	section 5	3	5	3	3	3	3								
back exercises for lower back pain	Select one to refine your search	for men	for women				3	3				3								
back exercises for lower back pain	Select one to refine your search	for men	for women	seniors			5	5	3			4								
back exercises for lower back pain	Select one to refine your search	for men	for women	for pregnant			4	4	4			4								
back exercises for lower back pain	Select one to refine your search	men	women				4	4				4								
best hairstyles for women over 60	Select one to refine your search	short hairstyles	long hairstyles				5	5				4								
best hairstyles for women over 60	Select one to refine your search	short hairstyles	long hairstyles	medium hairstyles			5	5	4			4								
best hairstyles for women over 60	Select one to refine your search	short hairstyles	medium hairstyles	long hairstyles			5	5	5			5								
best movies of all time	Select one to refine your search	comedy movies	horror movies	western movies	war movies	thriller movies	5	4	3	3	4	4								
best movies of all time	Select one to refine your search	adventure movies	horror movies	horror movies	comedy movies	adventure	4	4	4	4	4	4								
best movies of all time	Select one to refine your search	adventure movies	western movies	horror movies	comedy movies	romance movies	5	5	5	5	5	5								
best movies of all time	Select one to refine your search	best movies of all time for kids	best movies of all time for teens	for men	for women		5	4	4	4		4								
best series on amazon prime	Select one to refine your search	mystery series	western series	best comedy series on amazon prime	best drama series on amazon prime	horror series	4	4	4	5	3	4								
best series on amazon prime	Select one to refine your search	mystery series	western series	drama series	best comedy series on amazon prime	action series	3	3	3	5	3	4								
best series on amazon prime	Select one to refine your search	best tv series on amazon prime	best movie series on amazon prime				5	3				4								
best shampoo for itchy scalp	Select one to refine your search	best shampoo for dry itchy scalp	best shampoo for oily itchy scalp	sensitive			5	5	3			4								
best shampoo for itchy scalp	Select one to refine your search	dry	sensitive	oily			5	4	4			4								
best shampoo for itchy scalp	Select one to refine your search	best shampoo for itchy scalp for men	best shampoo for itchy scalp for kids				4	4				4								
better homes and gardens recipes	Select one to refine your search	cookie	dessert recipes	soup	pie recipes	candy recipes	5	5	4	5	5	4								
better homes and gardens recipes	Select one to refine your search	meatloaf	soup	chicken	salad	chili recipes	3	4	4	4	4	4								
better homes and gardens recipes	Select one to refine your search	pumpkin	chicken	salmon recipes	salad	eggplant recipes	3	5	5	3	4	4								
better homes and gardens recipes	Select one to refine your search	better homes and gardens recipes banana bread	pecan pie	cookies	better homes and gardens recipes pie crust	banana cake	5	3	3	5	3	4								
bill of sale form free printable	Select one to refine your search	equipment	real estate bill of sale form free printable				1	5				4								
bill of sale form free printable	Select one to refine your search	trailer	automobile bill of sale	boat	motorcycle	atv	3	5	3	3	3	4								
bill of sale form free printable	Select one to refine your search	trailer	boat	car	motorcycle	atv	4	4	5	4	3	4								
bill of sale form free printable	Select one to refine your search	trailer	boat	motorcycle	atv		4	4	4	3		3								
can you drink too much water	Select one to refine your search	can you drink too much alkaline water	can you drink too much acidic water				2	2				2								
can you drink too much water	Select one to refine your search	lemon	coconut	ginger	cucumber	lime water	5	5	3	5	5	5								
can you drink too much water	Select one to refine your search	lemon	coconut	ginger	lime water	cucumber	2	2	2	2	2	2								
charlie and the chocolate factory	Select one to refine your search	characters	songs	summary	quotes	trailer	5	4	5	4	4	5								
charlie and the chocolate factory	Select one to refine your search	film	book	theater			5	5	3			5								
charlie and the chocolate factory	Select one to refine your search	cast from	quotes from	songs from	facts from		5	5	5	5		5								
cheap hotels in san francisco	Select one to refine your search	downtown	union square	chinatown			5	5	4			4								
cheap hotels in san francisco	Select one to refine your search	cheap hotels in san francisco downtown	cheap hotels in san francisco union square	san francisco chinatown			5	5	2			4								
cheap hotels in san francisco	Select one to refine your search	cheap hotels in san francisco union square	cheap hotels in san francisco downtown	chinatown	san francisco financial district		5	4	2	3		3								
chemical peel before and after	Select one to refine your search	for face	on legs	on arms	under eye	on chest	5	3	3	4	3	4								
chemical peel before and after	Select one to refine your search	for face	under eye				4	4				4								
chemical peel before and after	Select one to refine your search	phenol	salicylic acid	lactic acid			4	4	4			4								
clone drone in the danger zone	Select one to refine your search	download	update				5	5				5								
clone drone in the danger zone	Select one to refine your search	xbox	ps4	pc	android		4	4	4	4		4								
clone drone in the danger zone	Select one to refine your search	ps4	xbox	pc	android		5	5	5	4		4								
clone drone in the danger zone	What are you trying to do?	download	update				4	4				4								
cool things to build in minecraft	Select one to refine your search	minecraft pe	pc	ps4	xbox		3	4	4	4		3								
cool things to build in minecraft	Select one to refine your search	pe	ps4	minecraft xbox one			2	3	5			3								
cool things to build in minecraft	Select one to refine your search	minecraft pe	minecraft xbox one	ps4			5	5	4			4								
create a drop down list in excel	Select one to refine your search	create a drop down list in excel to sort by	create a drop down list in excel filter				3	3				3								
create a drop down list in excel	What version of Excel are you looking for?	excel 2007	create a drop down list in excel 2010	excel 2013	create a drop down list in excel 2016		2	4	2	4		4								
create a drop down list in excel	What version of Excel are you looking for?	create a drop down list in excel 2016	create a drop down list in excel 2010	excel 2013	excel 2007		5	4	3	3		3								
do you italicize book titles	Select one to refine your search	in an essay	in a paragraph	in a sentence			3	3	3			4								
do you italicize book titles	Select one to refine your search	in apa	in mla	in chicago style	in turabian		5	5	3	3		4								
do you italicize book titles	Select one to refine your search	do you italicize short book titles	do you italicize long book titles				3	3				3								
free movies on youtube full length	Select one to refine your search	family movies	horror movies	comedy movies	western movies	romance movies	5	5	5	4	5	4								
free movies on youtube full length	Select one to refine your search	family movies	war movies	action movies	horror movies	comedy movies	3	5	4	4	4	4								
free movies on youtube full length	Select one to refine your search	horror movies	western movies	comedy movies	war movies	romance movies	4	4	4	4	4	5								
free pc games download full version	Select one to refine your search	minecraft	gta 4	gta 5			3	3	4			3								
free pc games download full version	Select one to refine your search	windows 10	windows 7	windows 8			5	5	5			4								
free pc games download full version	Select one to refine your search	windows 10	windows 8	windows 7			3	3	3			3								
free printable coloring pages for kids	Select one to refine your search	disney	princess	star wars			3	4	3			3								
free printable coloring pages for kids	Select one to refine your search	easter coloring pages	animal coloring pages	halloween coloring pages	halloween coloring pages	thanksgiving coloring pages	3	4	3	3	3	3								
free printable coloring pages for kids	Select one to refine your search	disney	star wars	princess			5	5	5			4								
grand canyon tours from las vegas	Select one to refine your search	helicopter	bus	airplane tours	train	boat	5	3	4	2	4	4								
grand canyon tours from las vegas	Select one to refine your search	helicopter	hiking				4	5				3								
grand canyon tours from las vegas	Select one to refine your search	short grand canyon tours from las vegas	how long are grand canyon tours from las vegas				5	4				4								
harry potter and the prisoner of azkaban	Select one to refine your search	cast	summary	trailer	quotes	audiobook	3	4	4	4	5	4								
harry potter and the prisoner of azkaban	Select one to refine your search	pc game	review	walkthrough			2	5	4			3								
harry potter and the prisoner of azkaban	Select one to refine your search	quotes	film	book	characters	sparknotes	5	5	5	5	4	5								
how do i change my password on my computer	Select one to refine your search	my hp	dell computer	apple computer	asus computer	lenovo computer	4	4	4	4	4	4								
how do i change my password on my computer	Select one to refine your search	hp	dell computer	my asus	my acer	lenovo computer	2	3	2	2	3	2								
how do i change my password on my computer	Select one to refine your search	my hp	dell computer	asus	apple computer	my acer	3	4	2	4	3	4								
how do i connect my printer to wifi	Select one to refine your search	brother printer	canon printer	hp printer	epson printer	dell printer	4	5	5	5	5	4								
how do i connect my printer to wifi	Select one to refine your search	brother printer	hp printer	canon printer	epson printer	lexmark	4	4	4	4	3	4								
how do i connect my printer to wifi	Select one to refine your search	canon printer	hp printer	epson printer			4	4	4			4								
how do i do a screenshot on my computer	Select one to refine your search	hp computer	acer computer	lenovo	hp computer	acer computer	4	4	3	4	2	4								
how do i do a screenshot on my computer	Select one to refine your search	dell computer	lenovo computer	acer computer	acer computer	lenovo computer	3	3	3	3	3	2								
how do i do a screenshot on my computer	Select one to refine your search	how do i do a screenshot on my mac computer	how do i do a screenshot on my windows computer				5	5				4								
how do i get my printer back online	Select one to refine your search	canon printer	epson printer	hp printer	brother printer	kodak printer	5	5	5	5	5	4								
how do i get my printer back online	Select one to refine your search	epson printer	canon printer	hp printer			3	3	3			3								
how do i get my printer back online	Select one to refine your search	hp	brother	epson	canon		5	3	3	3		4								
how do i get my printer back online	Select one to refine your search	windows 10	windows 8	vista	windows 7		4	4	3	3		2								
how do i rename a file	Select one to refine your search	excel	windows	word	access	onenote	5	5	5	3	5	4								
how do i rename a file	Select one to refine your search	in windows	in word	in excel	in linux	on a mac	5	4	4	4	5	4								
how do i rename a file	Select one to refine your search	in windows 10	in unix	in dos	windows 7	on my ipad	5	5	4	5	5	5								
how do i scan a document to my computer	Select one to refine your search	canon	hp	epson	brother		5	5	5	5		5								
how do i scan a document to my computer	Select one to refine your search	hp	canon	epson	brother		4	4	4	4		4								
how do i scan a document to my computer	Select one to refine your search	my hp	how do i scan a document to my dell computer				2	2				2								
how do i shut down windows 10	Select one to refine your search	pc	laptop	chromebook			4	4	4			4								
how do i shut down windows 10	Select one to refine your search	laptop	pc	chromebook			5	5	3			4								
how do i shut down windows 10	Select one to refine your search	chromebook	laptop	pc			4	5	5			5								
how do i take a screenshot on my laptop	Select one to refine your search	apple laptop	how do i take a screenshot on my windows laptop				3	3				3								
how do i take a screenshot on my laptop	Select one to refine your search	hp laptop	dell laptop				3	4				4								
how do i take a screenshot on my laptop	Select one to refine your search	hp laptop	dell laptop	apple laptop	toshiba laptop	acer laptop	3	3	3	3	3	4								
how do i take a screenshot on my laptop	Select one to refine your search	hp laptop	dell laptop	apple laptop	toshiba laptop	asus laptop	4	4	4	4	4	4								
how do i update my browser	Select one to refine your search	for windows 7	vista	in windows 8	xp		3	3	3	3		3								
how do i update my browser	Select one to refine your search	chrome	safari	mozilla	opera	opera	5	5	5	5	3	4								
how do i update my browser	Select one to refine your search	safari	safari	firefox	opera	mozilla	5	5	5	5	5	4								
how do you get rid of fruit flies	Select one to refine your search	how do you get rid of fruit flies in house	how do you get rid of fruit flies trap				5	2				3								
how do you get rid of fruit flies	Select one to refine your search	in kitchen	in my bathroom	in refrigerator			5	5	5			5								
how do you get rid of fruit flies	Select one to refine your search	how do you get rid of fruit flies in the kitchen	how do you get rid of fruit flies in the bathroom				5	5				4								
how do you screenshot on a computer	Select one to refine your search	windows 10	windows 7	windows 8	windows xp		5	3	3	5		3								
how do you screenshot on a computer	Select one to refine your search	asus computer	dell computer	hp computer	toshiba computer	toshiba computer	3	3	3	3	2	3								
how do you screenshot on a computer	Select one to refine your search	lenovo	how do you screenshot on a windows computer	dell computer	dell computer	asus	2	5	3	3	2	4								
how do you screenshot on a computer	Select one to refine your search	how do you screenshot on a windows computer	lenovo	dell computer	lenovo computer	toshiba computer	5	2	4	4	2	3								
how do you take a screenshot on computer	Select one to refine your search	dell	a hp computer	asus	a lenovo computer	a windows computer	3	4	3	4	4	4								
how do you take a screenshot on computer	Select one to refine your search	dell	a lenovo computer	asus	dell computer	acer	4	4	4	4	4	4								
how do you take a screenshot on computer	Select one to refine your search	hp	dell	acer	asus	lenovo	3	2	3	3	2	2								
how long does caffeine stay in your system	Select one to refine your search	from coffee	from soda	from tea	from energy drinks		5	5	5	4		5								
how long does caffeine stay in your system	Select one to refine your search	from coffee	from tea	from chocolate			5	5	2			4								
how long does caffeine stay in your system	Select one to refine your search	coffee	tea	natural caffeine			4	3	4			4								
how long has this been going on	Select one to refine your search	lyrics	chords				5	3				5								
how long has this been going on	Select one to refine your search	lyrics	chords	sheet music			5	5	4			5								
how long has this been going on	Select one to refine your search	lyrics	chords	how long has this been going on singer	sheet music		4	4	4	4		3								
how long has this been going on	Select one to refine your search	lyrics	how long has this been going on singer				4	4				3								
how long to cook corn on the cob	Select one to refine your search	in microwave	in oven				3	3				3								
how long to cook corn on the cob	Select one to refine your search	in microwave	on the grill	how long to cook corn on the cob in oven			3	5	4			4								
how long to cook corn on the cob	Select one to refine your search	in microwave	on the grill	how long to cook corn on the cob in oven	in slow cooker	from freezer	3	4	5	3	3	4								
how many calories to lose weight	Select one to refine your search	a woman	for men				4	4				4								
how many calories to lose weight	Select one to refine your search	for men	a woman				3	3				4								
how many calories to lose weight	Select one to refine your search	for women	for men	for children			4	4	4			3								
how many calories to lose weight	Select one to refine your search	for women	for men	for kids			4	4	4			4								
how many steps in a mile	Select one to refine your search	running	biking	hiking	golfing		4	2	3	3		3								
how many steps in a mile	Select one to refine your search	walking	running	biking	golfing		5	5	2	2		3								
how many steps in a mile	Select one to refine your search	walking	running	elliptical	brisk steps		5	5	4	4		5								
how many steps in a mile	Select one to refine your search	when walking how many steps in a mile	when running how many steps in a mile				5	5				4								
how much sugar should you have daily	Select one to refine your search	for kids	for men				5	5				4								
how much sugar should you have daily	Select one to refine your search	for women	for kids	for men			4	4	4			4								
how much sugar should you have daily	Select one to refine your search	for women	for men				5	5				5								
how to add a printer to my computer	Select one to refine your search	hp printer	canon printer	brother printer	lexmark printer		5	5	3	3		4								
how to add a printer to my computer	Select one to refine your search	hp printer	dymo printer	canon printer	brother printer	lexmark printer	5	4	4	5	5	4								
how to add a printer to my computer	Select one to refine your search	how to add a printer to my computer windows	how to add a printer to my computer mac				5	5				5								
how to care for a child	Select one to refine your search	with autism	how to care for a child with cerebral palsy				4	5				4								
how to care for a child	Select one to refine your search	with autism	with down syndrome				3	3				3								
how to care for a child	Select one to refine your search	pneumonia	how to care for a child with fever				2	4				3								
how to change brightness in windows 10	Select one to refine your search	desktop	keyboard	laptop			4	4	2			3								
how to change brightness in windows 10	Select one to refine your search	desktop	laptop	keyboards			3	3	2			4								
how to change brightness in windows 10	Select one to refine your search	keyboard	desktop	laptop			4	5	5			5								
how to change brightness in windows 10	Select one to refine your search	desktop	laptop	keyboard			5	5	5			5								
how to change brightness in windows 10	Select one to refine your search	laptop	desktop	keyboard			4	4	5			5								
how to change the time on my computer	Select one to refine your search	how to change the time on my computer windows	how to change the time on my computer mac				5	5				5								
how to change the time on my computer	Select one to refine your search	hp computer	lenovo computer	acer computer	asus computer	windows computer	5	4	4	4	5	4								
how to change the time on my computer	Select one to refine your search	dell computer	lenovo computer	acer computer	windows computer	asus computer	4	4	4	5	4	4								
how to connect bluetooth headphones to laptop	Select one to refine your search	hp	asus	toshiba	dell		4	4	4	4		4								
how to connect bluetooth headphones to laptop	Select one to refine your search	hp	dell				5	5				5								
how to connect bluetooth headphones to laptop	Select one to refine your search	hp	dell	asus	toshiba		4	4	4	5		4								
how to connect bluetooth headphones to laptop	Select one to refine your search	windows 10	windows 7				4	4				4								
how to find the domain of a function	Select one to refine your search	how to find the domain of a function equation	how to find the domain of a function calculator				5	4				4								
how to find the domain of a function	Select one to refine your search	log function	polynomial function	square root function	quadratic function	how to find the domain of a linear function	4	4	4	4	4	5								
how to find the domain of a function	Select one to refine your search	rational function	polynomial function	logarithmic function	square root function	quadratic function	3	3	4	3	3	4								
how to find the inverse of a function	Select one to refine your search	how to find the inverse of a cubic function	quadratic function	how to find the inverse of a log function	how to find the inverse of a linear function	rational function	5	3	5	5	3	4								
how to find the inverse of a function	Select one to refine your search	how to find the inverse of a function calculator	how to find the inverse of a function equation				4	4				4								
how to find the inverse of a function	Select one to refine your search	how to find the inverse of a log function	how to find the inverse of a square root function				5	5				4								
how to forward a text message on iphone	Select one to refine your search	iphone 6s	7	8	iphone xs	iphone 8	4	4	4	4	4	4								
how to forward a text message on iphone	Select one to refine your search	iphone xs	iphone 8	8	7	iphone 6s	5	4	2	2	5	4								
how to forward a text message on iphone	What iphone are you looking for?	iphone xs	iphone xs	iphone 8	8	7	5	5	5	3	3	3								
how to get over a breakup	Select one to refine your search	for men	for women				4	4				3								
how to get over a breakup	Select one to refine your search	for men	for women	with kids			4	4	3			4								
how to get over a breakup	Select one to refine your search	for women	for men				4	4				4								
how to get rid of a headache	Select one to refine your search	how to get rid of a stress headache	migraine				3	3				3								
how to get rid of a headache	Select one to refine your search	how to get rid of a stress headache	migraine	dehydration headache	blood pressure headache	flu	5	5	4	4	2	3								
how to get rid of a headache	Select one to refine your search	sugar	sodium				3	3				3								
how to get rid of razor bumps	Select one to refine your search	how to get rid of razor bumps men	how to get rid of razor bumps women				4	4				3								
how to get rid of razor bumps	Select one to refine your search	face	face	on legs	head	on head	4	4	4	3	3	3								
how to get rid of razor bumps	Select one to refine your search	on legs	face	head	face	on head	4	4	4	4	5	4								
how to hatch a dragon egg in minecraft	Select one to refine your search	minecraft pe	how to hatch a dragon egg in minecraft ps3	how to hatch a dragon egg in minecraft xbox			1	4	4			4								
how to hatch a dragon egg in minecraft	Select one to refine your search	ps3	minecraft xbox				4	4				4								
how to hatch a dragon egg in minecraft	Select one to refine your search	ps4	how to hatch a dragon egg in minecraft xbox				2	4				3								
how to make a portal in minecraft	Select one to refine your search	minecraft pc	on ipad	minecraft ps3	pe		4	2	4	1		4								
how to make a portal in minecraft	Select one to refine your search	pe	minecraft ps3	minecraft pc	on ipad		1	5	5	5		4								
how to make a portal in minecraft	Select one to refine your search	pe	ps3	pc	on ipad		2	4	3	3		4								
how to make an iron golem in minecraft	Select one to refine your search	pe	minecraft xbox	minecraft ps3			1	3	3			3								
how to make an iron golem in minecraft	Select one to refine your search	xbox	minecraft pc	minecraft ps3			5	5	5			5								
how to make an iron golem in minecraft	Select one to refine your search	pe	xbox	ps3			1	4	3			3								
how to scan a document to my computer	Select one to refine your search	canon	epson	hp			4	4	4			3								
how to scan a document to my computer	Select one to refine your search	canon	epson	hp	brother		4	4	5	4		4								
how to scan a document to my computer	Select one to refine your search	canon	epson	lenovo	hp	dell	5	5	5	5	5	5								
how to scan a document to my computer	Select one to refine your search	windows 10	windows 7	windows 8			5	4	4			4								
how to scan a document to my computer	Select one to refine your search	canon	hp	epson			4	4	4			3								
how to scan a document using printer	Select one to refine your search	brother printer	canon printer	hp printer			4	4	4			4								
how to scan a document using printer	Select one to refine your search	canon printer	brother printer	hp printer			4	4	4			4								
how to scan a document using printer	Select one to refine your search	hp printer	canon printer	brother printer			5	4	4			3								
how to scan from printer to computer	Select one to refine your search	epson printer	canon printer	brother printer	hp printer	lexmark printer	5	5	3	5	3	5								
how to scan from printer to computer	Select one to refine your search	epson printer	canon printer	hp printer	brother printer	samsung printer	4	4	4	3	4	4								
how to scan from printer to computer	Select one to refine your search	windows 10	windows 8	vista			4	2	2			3								
how to scan from printer to computer	Select one to refine your search	windows 8	vista				3	3				2								
how to send a calendar invite in outlook	Select one to refine your search	2016	2010	2013	2007		3	2	3	1		3								
how to send a calendar invite in outlook	What version of Outlook are you looking for?	outlook 2007	how to send a calendar invite in outlook 2010	outlook 2013	how to send a calendar invite in outlook 2016		5	5	5	5		5								
how to send a calendar invite in outlook	What version of Outlook are you looking for?	how to send a calendar invite in outlook 2016	how to send a calendar invite in outlook 2010	outlook 2013	outlook 2007		5	5	4	4		5								
how to take a screenshot on a computer	Select one to refine your search	lenovo computer	dell computer	hp computer	acer computer	apple computer	3	3	3	3	3	3								
how to take a screenshot on a computer	Select one to refine your search	lenovo computer	dell computer	hp computer	how to take a screenshot on a windows computer	apple computer	4	4	4	4	4	4								
how to take a screenshot on a computer	Select one to refine your search	how to take a screenshot on a mac computer	how to take a screenshot on a windows computer				5	5				5								
